first_name,count,prob
ROKSOLANA,1386,6.217965811775624e-05
LYUBOV,1380,6.191048210858848e-05
DOBROSŁAWA,1373,6.159644343122606e-05
EKATERINA,1351,6.060946473094422e-05
ISABELLA,1340,6.01159753808033e-05
MIRA,1335,5.9891662039830156e-05
YARYNA,1332,5.975707403524627e-05
MALINA,1325,5.944303535788386e-05
INA,1319,5.9173859348716086e-05
LINDA,1308,5.868036999857516e-05
EULALIA,1304,5.850091932579665e-05
VALERIA,1298,5.823174331662887e-05
IRMGARDA,1292,5.796256730746109e-05
VIKTORIYA,1288,5.7783116634682576e-05
KATERINA,1285,5.764852863009869e-05
JENNIFER,1281,5.746907795732017e-05
JAROSŁAWA,1279,5.737935262093091e-05
YELIZAVETA,1278,5.7334489952736284e-05
BERNARDYNA,1277,5.728962728454165e-05
NICOL,1276,5.724476461634702e-05
PATRICIA,1270,5.697558860717925e-05
SABRINA,1255,5.630264858425981e-05
ELLA,1237,5.549512055675648e-05
VIOLETA,1233,5.531566988397796e-05
ARIANA,1231,5.5225944547588704e-05
VERANIKA,1221,5.477731786564241e-05
ELVIRA,1220,5.473245519744778e-05
DINA,1218,5.464272986105852e-05
HANNAH,1214,5.446327918828e-05
BOGDANA,1209,5.4238965847306855e-05
WANESA,1207,5.41492405109176e-05
MARCJANNA,1205,5.405951517452834e-05
ELIZABETH,1189,5.334171248341427e-05
MAJKA,1181,5.2982811137857235e-05
HANKA,1181,5.2982811137857235e-05
TEOFILA,1170,5.248932178771632e-05
DŻESIKA,1169,5.2444459119521685e-05
ERNA,1168,5.2399596451327053e-05
MARITA,1152,5.168179376021299e-05
LUDMILA,1149,5.15472057556291e-05
SIMONA,1148,5.150234308743447e-05
ANDRIANA,1141,5.1188304410072065e-05
GABRIELLA,1131,5.073967772812577e-05
ANIKA,1130,5.069481505993114e-05
LARISA,1127,5.056022705534725e-05
VALERYIA,1126,5.0515364387152627e-05
DANA,1122,5.0335913714374106e-05
PALINA,1121,5.029105104617948e-05
WIRGINIA,1118,5.015646304159559e-05
VERA,1114,4.997701236881707e-05
LUBA,1114,4.997701236881707e-05
LIANA,1110,4.9797561696038556e-05
TAMILA,1105,4.957324835506541e-05
ALICE,1099,4.930407234589763e-05
LILY,1089,4.885544566395134e-05
ALESIA,1085,4.867599499117282e-05
CARMEN,1081,4.8496544318394304e-05
DAJANA,1072,4.809278030464264e-05
VLADA,1070,4.800305496825338e-05
CAROLINE,1067,4.786846696366949e-05
YULIANA,1066,4.7823604295474865e-05
NAOMI,1051,4.7150664272555426e-05
EMANUELA,1043,4.679176292699839e-05
YULIA,1039,4.661231225421987e-05
BALBINA,1033,4.63431362450521e-05
DALIA,1023,4.5894509563105806e-05
NIKOLETTA,1020,4.575992155852192e-05
ALICIA,1019,4.5715058890327285e-05
LIZAVETA,1017,4.562533355393803e-05
BERENIKA,986,4.423459083990452e-05
NELLY,981,4.401027749893137e-05
VITALIIA,976,4.3785964157958226e-05
ELIZAVETA,974,4.369623882156897e-05
BIANCA,953,4.275412278948175e-05
AKSANA,952,4.270926012128712e-05
LILIYA,949,4.257467211670323e-05
RAMONA,948,4.2529809448508606e-05
KUNEGUNDA,936,4.199145743017305e-05
INKA,934,4.190173209378379e-05
IRMA,932,4.1812006757394536e-05
LILLY,927,4.158769341642139e-05
DARINA,923,4.140824274364287e-05
KORNELA,918,4.118392940266972e-05
FILOMENA,916,4.1094204066280465e-05
SEWERYNA,914,4.100447872989121e-05
KRYSTSINA,904,4.0555852047944915e-05
ULYANA,904,4.0555852047944915e-05
MAIA,902,4.046612671155565e-05
ŻAKLINA,899,4.033153870697177e-05
KAYA,892,4.001750002960936e-05
IDALIA,891,3.9972637361414734e-05
IWONNA,884,3.9658598684052324e-05
SWIETŁANA,879,3.943428534307918e-05
JÓZEFINA,873,3.9165109333911406e-05
MICHAELA,873,3.9165109333911406e-05
BLANDYNA,871,3.907538399752214e-05
AMALIA,870,3.903052132932752e-05
HANA,866,3.8851070656548996e-05
NADZEYA,864,3.876134532015974e-05
STEFANIIA,859,3.853703197918659e-05
CRISTINA,857,3.8447306642797335e-05
BENEDYKTA,857,3.8447306642797335e-05
CAROLINA,856,3.8402443974602704e-05
EMILA,851,3.817813063362956e-05
INGRID,848,3.804354262904567e-05
MELANIIA,845,3.7908954624461786e-05
LUBOMIRA,843,3.781922928807252e-05
LIGIA,839,3.763977861529401e-05
ABIGAIL,838,3.7594915947099376e-05
NASTASSIA,823,3.692197592417994e-05
MARIAM,820,3.678738791959605e-05
MELISA,818,3.669766258320679e-05
SYBILLA,815,3.65630745786229e-05
