last_name,amount,prob
KOWALUK,625,3.636597013323968e-05
LALAK,625,3.636597013323968e-05
LEONOWICZ,625,3.636597013323968e-05
LITWIŃCZUK,625,3.636597013323968e-05
MORKA,625,3.636597013323968e-05
SUJKOWSKA,625,3.636597013323968e-05
SZYKUŁA,625,3.636597013323968e-05
CHROMY,624,3.630778458102649e-05
KUTKOWSKA,624,3.630778458102649e-05
LEMIESZEK,624,3.630778458102649e-05
ŁOBOCKA,624,3.630778458102649e-05
MOSKALIK,624,3.630778458102649e-05
PARDA,624,3.630778458102649e-05
SOCZYŃSKA,624,3.630778458102649e-05
TYTKO,624,3.630778458102649e-05
WAŁEK,624,3.630778458102649e-05
WĘGIERSKA,624,3.630778458102649e-05
WILEŃSKA,624,3.630778458102649e-05
DOMIAN,623,3.624959902881331e-05
KARSZNIA,623,3.624959902881331e-05
KAZANECKA,623,3.624959902881331e-05
KIK,623,3.624959902881331e-05
KLIMKO,623,3.624959902881331e-05
KOSZOWSKA,623,3.624959902881331e-05
ŁĄCZKOWSKA,623,3.624959902881331e-05
PAŁGAN,623,3.624959902881331e-05
PODEMSKA,623,3.624959902881331e-05
SIEROCIŃSKA,623,3.624959902881331e-05
DADEJ,622,3.6191413476600126e-05
FERDYN,622,3.6191413476600126e-05
KUŁACH,622,3.6191413476600126e-05
PIŃKOWSKA,622,3.6191413476600126e-05
SKRZYNECKA,622,3.6191413476600126e-05
SŁUPECKA,622,3.6191413476600126e-05
SYROKA,622,3.6191413476600126e-05
WINCZEWSKA,622,3.6191413476600126e-05
BZYMEK,621,3.6133227924386946e-05
CIECIURA,621,3.6133227924386946e-05
KORKOSZ,621,3.6133227924386946e-05
KRZAN,621,3.6133227924386946e-05
MACHA,621,3.6133227924386946e-05
NAGEL,621,3.6133227924386946e-05
OWCZARCZAK,621,3.6133227924386946e-05
PRAŻMO,621,3.6133227924386946e-05
PYTKO,621,3.6133227924386946e-05
SZARA,621,3.6133227924386946e-05
BASTEK,620,3.607504237217376e-05
BULAK,620,3.607504237217376e-05
FRANKOWICZ,620,3.607504237217376e-05
GAŁĘZOWSKA,620,3.607504237217376e-05
IWICKA,620,3.607504237217376e-05
KUCHARZEWSKA,620,3.607504237217376e-05
MIERZWIAK,620,3.607504237217376e-05
SKWARSKA,620,3.607504237217376e-05
TASARZ,620,3.607504237217376e-05
WALENDOWSKA,620,3.607504237217376e-05
ZEGAR,620,3.607504237217376e-05
BIEGAŁA,619,3.601685681996058e-05
BOGUMIŁ,619,3.601685681996058e-05
CHOMIK,619,3.601685681996058e-05
DAMIĘCKA,619,3.601685681996058e-05
GAUDYN,619,3.601685681996058e-05
GAWKOWSKA,619,3.601685681996058e-05
KOŚCIELNY,619,3.601685681996058e-05
NIECHCIAŁ,619,3.601685681996058e-05
NIEZABITOWSKA,619,3.601685681996058e-05
PAW,619,3.601685681996058e-05
PIELKA,619,3.601685681996058e-05
POMIANOWSKA,619,3.601685681996058e-05
POTOCZEK,619,3.601685681996058e-05
RYCZKO,619,3.601685681996058e-05
STAWOWSKA,619,3.601685681996058e-05
SWACZYNA,619,3.601685681996058e-05
ŻEGLEŃ,619,3.601685681996058e-05
BYLICKA,618,3.595867126774739e-05
DUBEL,618,3.595867126774739e-05
KIEROŃSKA,618,3.595867126774739e-05
KURAN,618,3.595867126774739e-05
KUT,618,3.595867126774739e-05
LINKA,618,3.595867126774739e-05
MARCHLEWICZ,618,3.595867126774739e-05
MIRKOWSKA,618,3.595867126774739e-05
OPYRCHAŁ,618,3.595867126774739e-05
PRAŻMOWSKA,618,3.595867126774739e-05
PRYSTUPA,618,3.595867126774739e-05
PUDŁOWSKA,618,3.595867126774739e-05
SURA,618,3.595867126774739e-05
SZCZERBOWSKA,618,3.595867126774739e-05
SZYMOCHA,618,3.595867126774739e-05
WINNIK,618,3.595867126774739e-05
ZACHAREK,618,3.595867126774739e-05
ZIMNIAK,618,3.595867126774739e-05
BUCHALIK,617,3.590048571553421e-05
BUSZKA,617,3.590048571553421e-05
DURLAK,617,3.590048571553421e-05
FRAŚ,617,3.590048571553421e-05
GMUR,617,3.590048571553421e-05
HADAŁA,617,3.590048571553421e-05
HUS,617,3.590048571553421e-05
JESSA,617,3.590048571553421e-05
KOZŁOWICZ,617,3.590048571553421e-05
MAKOSZ,617,3.590048571553421e-05
MANDZIUK,617,3.590048571553421e-05
OLEKSIK,617,3.590048571553421e-05
OLKOWICZ,617,3.590048571553421e-05
OSADCHA,617,3.590048571553421e-05
STASICA,617,3.590048571553421e-05
ŚLESZYŃSKA,617,3.590048571553421e-05
WAKUŁA,617,3.590048571553421e-05
WEREMCZUK,617,3.590048571553421e-05
WOJEWÓDKA,617,3.590048571553421e-05
ŻELASKO,617,3.590048571553421e-05
BŁAŻEJOWSKA,616,3.5842300163321024e-05
DARŁAK,616,3.5842300163321024e-05
GRZELIŃSKA,616,3.5842300163321024e-05
GUZIKOWSKA,616,3.5842300163321024e-05
KIRYLUK,616,3.5842300163321024e-05
KÓZKA,616,3.5842300163321024e-05
KUBIACZYK,616,3.5842300163321024e-05
KUTNIK,616,3.5842300163321024e-05
MITEK,616,3.5842300163321024e-05
OTRĘBSKA,616,3.5842300163321024e-05
PIEJKO,616,3.5842300163321024e-05
PŁÓCIENNICZAK,616,3.5842300163321024e-05
PRZYTULSKA,616,3.5842300163321024e-05
SITO,616,3.5842300163321024e-05
WĘGRZYŃSKA,616,3.5842300163321024e-05
WOLNICKA,616,3.5842300163321024e-05
ZAWIDZKA,616,3.5842300163321024e-05
ŻELAZNY,616,3.5842300163321024e-05
BEMBENEK,615,3.5784114611107844e-05
BORYSOVA,615,3.5784114611107844e-05
BUGNO,615,3.5784114611107844e-05
JARZEMBOWSKA,615,3.5784114611107844e-05
KNAPEK,615,3.5784114611107844e-05
KOSELA,615,3.5784114611107844e-05
KUSTOSZ,615,3.5784114611107844e-05
ŁAŻEWSKA,615,3.5784114611107844e-05
MAGIER,615,3.5784114611107844e-05
OVCHARENKO,615,3.5784114611107844e-05
